group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,std-vec,2000,,,29390832.0,ns,7387
push_relaxed,std-vec,2000,,,58169072.0,ns,14774
push_relaxed,std-vec,2000,,,93792510.0,ns,22161
push_relaxed,std-vec,2000,,,121579662.0,ns,29548
push_relaxed,std-vec,2000,,,167133139.0,ns,36935
push_relaxed,std-vec,2000,,,206516492.0,ns,44322
push_relaxed,std-vec,2000,,,226045564.0,ns,51709
push_relaxed,std-vec,2000,,,278094904.0,ns,59096
push_relaxed,std-vec,2000,,,310503104.0,ns,66483
push_relaxed,std-vec,2000,,,385911560.0,ns,73870
