group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,im-rs-vector-relaxed,128,,,23256366.0,ns,50363
split_off,im-rs-vector-relaxed,128,,,54661772.0,ns,100726
split_off,im-rs-vector-relaxed,128,,,86952283.0,ns,151089
split_off,im-rs-vector-relaxed,128,,,118493796.0,ns,201452
split_off,im-rs-vector-relaxed,128,,,146255044.0,ns,251815
split_off,im-rs-vector-relaxed,128,,,182682681.0,ns,302178
split_off,im-rs-vector-relaxed,128,,,219525115.0,ns,352541
split_off,im-rs-vector-relaxed,128,,,246809936.0,ns,402904
split_off,im-rs-vector-relaxed,128,,,274209199.0,ns,453267
split_off,im-rs-vector-relaxed,128,,,301608112.0,ns,503630
