group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,pvec-rrbvec-relaxed,2048,,,61347395.0,ns,2277
split_off,pvec-rrbvec-relaxed,2048,,,120193687.0,ns,4554
split_off,pvec-rrbvec-relaxed,2048,,,182633851.0,ns,6831
split_off,pvec-rrbvec-relaxed,2048,,,245398847.0,ns,9108
split_off,pvec-rrbvec-relaxed,2048,,,301763399.0,ns,11385
split_off,pvec-rrbvec-relaxed,2048,,,365532175.0,ns,13662
split_off,pvec-rrbvec-relaxed,2048,,,426504204.0,ns,15939
split_off,pvec-rrbvec-relaxed,2048,,,485716703.0,ns,18216
split_off,pvec-rrbvec-relaxed,2048,,,543286660.0,ns,20493
split_off,pvec-rrbvec-relaxed,2048,,,616195106.0,ns,22770
