group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,pvec-std,20000,,,73868750.0,ns,244
split_off,pvec-std,20000,,,121392055.0,ns,488
split_off,pvec-std,20000,,,182930224.0,ns,732
split_off,pvec-std,20000,,,243038587.0,ns,976
split_off,pvec-std,20000,,,305196951.0,ns,1220
split_off,pvec-std,20000,,,393294085.0,ns,1464
split_off,pvec-std,20000,,,478829797.0,ns,1708
split_off,pvec-std,20000,,,578005571.0,ns,1952
split_off,pvec-std,20000,,,688180918.0,ns,2196
split_off,pvec-std,20000,,,805654242.0,ns,2440
