group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,rbvec,40000,,,112532638.0,ns,1
split_off,rbvec,40000,,,223375595.0,ns,2
split_off,rbvec,40000,,,335274328.0,ns,3
split_off,rbvec,40000,,,447241272.0,ns,4
split_off,rbvec,40000,,,558324584.0,ns,5
split_off,rbvec,40000,,,666112027.0,ns,6
split_off,rbvec,40000,,,769086536.0,ns,7
split_off,rbvec,40000,,,878031533.0,ns,8
split_off,rbvec,40000,,,978375047.0,ns,9
split_off,rbvec,40000,,,1094384110.0,ns,10
