group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,rrbvec,4096,,,66079884.0,ns,1145
split_off,rrbvec,4096,,,131737429.0,ns,2290
split_off,rrbvec,4096,,,196820188.0,ns,3435
split_off,rrbvec,4096,,,262104089.0,ns,4580
split_off,rrbvec,4096,,,326474265.0,ns,5725
split_off,rrbvec,4096,,,390128006.0,ns,6870
split_off,rrbvec,4096,,,457470860.0,ns,8015
split_off,rrbvec,4096,,,521817019.0,ns,9160
split_off,rrbvec,4096,,,586435136.0,ns,10305
split_off,rrbvec,4096,,,655367020.0,ns,11450
