group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,rrbvec,512,,,48639225.0,ns,10351
split_off,rrbvec,512,,,93214347.0,ns,20702
split_off,rrbvec,512,,,140425375.0,ns,31053
split_off,rrbvec,512,,,194965660.0,ns,41404
split_off,rrbvec,512,,,236051057.0,ns,51755
split_off,rrbvec,512,,,286819391.0,ns,62106
split_off,rrbvec,512,,,335413762.0,ns,72457
split_off,rrbvec,512,,,384486472.0,ns,82808
split_off,rrbvec,512,,,432998825.0,ns,93159
split_off,rrbvec,512,,,482402374.0,ns,103510
