group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_off,std-vec,40000,,,79976142.0,ns,85
split_off,std-vec,40000,,,159348857.0,ns,170
split_off,std-vec,40000,,,238798357.0,ns,255
split_off,std-vec,40000,,,319984536.0,ns,340
split_off,std-vec,40000,,,400973114.0,ns,425
split_off,std-vec,40000,,,480700782.0,ns,510
split_off,std-vec,40000,,,567819277.0,ns,595
split_off,std-vec,40000,,,649292840.0,ns,680
split_off,std-vec,40000,,,724428204.0,ns,765
split_off,std-vec,40000,,,824603195.0,ns,850
