group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,im-rs-vector-balanced,100000,,,67871097.0,ns,20
update,im-rs-vector-balanced,100000,,,135494465.0,ns,40
update,im-rs-vector-balanced,100000,,,202589548.0,ns,60
update,im-rs-vector-balanced,100000,,,271247616.0,ns,80
update,im-rs-vector-balanced,100000,,,338305978.0,ns,100
update,im-rs-vector-balanced,100000,,,410085939.0,ns,120
update,im-rs-vector-balanced,100000,,,475357342.0,ns,140
update,im-rs-vector-balanced,100000,,,551346608.0,ns,160
update,im-rs-vector-balanced,100000,,,619157833.0,ns,180
update,im-rs-vector-balanced,100000,,,692030098.0,ns,200
