group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,im-rs-vector-relaxed,1000,,,41516387.0,ns,2345
update,im-rs-vector-relaxed,1000,,,82004019.0,ns,4690
update,im-rs-vector-relaxed,1000,,,123473602.0,ns,7035
update,im-rs-vector-relaxed,1000,,,164242706.0,ns,9380
update,im-rs-vector-relaxed,1000,,,205446903.0,ns,11725
update,im-rs-vector-relaxed,1000,,,246490020.0,ns,14070
update,im-rs-vector-relaxed,1000,,,293854696.0,ns,16415
update,im-rs-vector-relaxed,1000,,,341409451.0,ns,18760
update,im-rs-vector-relaxed,1000,,,385557822.0,ns,21105
update,im-rs-vector-relaxed,1000,,,430548369.0,ns,23450
