group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,pvec-std,40000,,,23401445.0,ns,655
update,pvec-std,40000,,,45326532.0,ns,1310
update,pvec-std,40000,,,68968368.0,ns,1965
update,pvec-std,40000,,,92030720.0,ns,2620
update,pvec-std,40000,,,115453596.0,ns,3275
update,pvec-std,40000,,,140280889.0,ns,3930
update,pvec-std,40000,,,168124607.0,ns,4585
update,pvec-std,40000,,,192749156.0,ns,5240
update,pvec-std,40000,,,217750295.0,ns,5895
update,pvec-std,40000,,,246666652.0,ns,6550
