group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,rbvec,20,,,52409822.0,ns,358451
update,rbvec,20,,,102042476.0,ns,716902
update,rbvec,20,,,153763496.0,ns,1075353
update,rbvec,20,,,195506704.0,ns,1433804
update,rbvec,20,,,238986636.0,ns,1792255
update,rbvec,20,,,301878603.0,ns,2150706
update,rbvec,20,,,343659827.0,ns,2509157
update,rbvec,20,,,389095601.0,ns,2867608
update,rbvec,20,,,429435781.0,ns,3226059
update,rbvec,20,,,471103386.0,ns,3584510
