group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update,rrbvec,2000,,,38311156.0,ns,1450
update,rrbvec,2000,,,75092268.0,ns,2900
update,rrbvec,2000,,,114063794.0,ns,4350
update,rrbvec,2000,,,152442000.0,ns,5800
update,rrbvec,2000,,,192877768.0,ns,7250
update,rrbvec,2000,,,230632060.0,ns,8700
update,rrbvec,2000,,,269659640.0,ns,10150
update,rrbvec,2000,,,311150511.0,ns,11600
update,rrbvec,2000,,,348558826.0,ns,13050
update,rrbvec,2000,,,386812043.0,ns,14500
