group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,im-rs-vector-balanced,100,,,77940333.0,ns,6346
update_clone,im-rs-vector-balanced,100,,,155609713.0,ns,12692
update_clone,im-rs-vector-balanced,100,,,235504113.0,ns,19038
update_clone,im-rs-vector-balanced,100,,,317170532.0,ns,25384
update_clone,im-rs-vector-balanced,100,,,390836807.0,ns,31730
update_clone,im-rs-vector-balanced,100,,,471175635.0,ns,38076
update_clone,im-rs-vector-balanced,100,,,552921066.0,ns,44422
update_clone,im-rs-vector-balanced,100,,,625458622.0,ns,50768
update_clone,im-rs-vector-balanced,100,,,704180512.0,ns,57114
update_clone,im-rs-vector-balanced,100,,,795531706.0,ns,63460
