group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,im-rs-vector-balanced,1000,,,86192254.0,ns,231
update_clone,im-rs-vector-balanced,1000,,,171595867.0,ns,462
update_clone,im-rs-vector-balanced,1000,,,258047007.0,ns,693
update_clone,im-rs-vector-balanced,1000,,,343474087.0,ns,924
update_clone,im-rs-vector-balanced,1000,,,434267866.0,ns,1155
update_clone,im-rs-vector-balanced,1000,,,517632064.0,ns,1386
update_clone,im-rs-vector-balanced,1000,,,600727151.0,ns,1617
update_clone,im-rs-vector-balanced,1000,,,690043934.0,ns,1848
update_clone,im-rs-vector-balanced,1000,,,763879107.0,ns,2079
update_clone,im-rs-vector-balanced,1000,,,847466676.0,ns,2310
