group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-rrbvec-balanced,40,,,81208071.0,ns,14148
update_clone,pvec-rrbvec-balanced,40,,,153535430.0,ns,28296
update_clone,pvec-rrbvec-balanced,40,,,230451507.0,ns,42444
update_clone,pvec-rrbvec-balanced,40,,,310485360.0,ns,56592
update_clone,pvec-rrbvec-balanced,40,,,381947389.0,ns,70740
update_clone,pvec-rrbvec-balanced,40,,,459507170.0,ns,84888
update_clone,pvec-rrbvec-balanced,40,,,537289872.0,ns,99036
update_clone,pvec-rrbvec-balanced,40,,,618292134.0,ns,113184
update_clone,pvec-rrbvec-balanced,40,,,707776879.0,ns,127332
update_clone,pvec-rrbvec-balanced,40,,,789649810.0,ns,141480
