group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-rrbvec-relaxed,60,,,80129696.0,ns,11995
update_clone,pvec-rrbvec-relaxed,60,,,150046906.0,ns,23990
update_clone,pvec-rrbvec-relaxed,60,,,225969727.0,ns,35985
update_clone,pvec-rrbvec-relaxed,60,,,307906296.0,ns,47980
update_clone,pvec-rrbvec-relaxed,60,,,375918823.0,ns,59975
update_clone,pvec-rrbvec-relaxed,60,,,453302973.0,ns,71970
update_clone,pvec-rrbvec-relaxed,60,,,537259999.0,ns,83965
update_clone,pvec-rrbvec-relaxed,60,,,606348084.0,ns,95960
update_clone,pvec-rrbvec-relaxed,60,,,680120414.0,ns,107955
update_clone,pvec-rrbvec-relaxed,60,,,757296698.0,ns,119950
