group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-rrbvec-relaxed,80,,,78513221.0,ns,3708
update_clone,pvec-rrbvec-relaxed,80,,,157175629.0,ns,7416
update_clone,pvec-rrbvec-relaxed,80,,,235269949.0,ns,11124
update_clone,pvec-rrbvec-relaxed,80,,,313530212.0,ns,14832
update_clone,pvec-rrbvec-relaxed,80,,,394703715.0,ns,18540
update_clone,pvec-rrbvec-relaxed,80,,,482452252.0,ns,22248
update_clone,pvec-rrbvec-relaxed,80,,,557974916.0,ns,25956
update_clone,pvec-rrbvec-relaxed,80,,,630138936.0,ns,29664
update_clone,pvec-rrbvec-relaxed,80,,,706556927.0,ns,33372
update_clone,pvec-rrbvec-relaxed,80,,,789945852.0,ns,37080
