group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,pvec-std,8000,,,91245316.0,ns,19
update_clone,pvec-std,8000,,,181809341.0,ns,38
update_clone,pvec-std,8000,,,272244160.0,ns,57
update_clone,pvec-std,8000,,,363059286.0,ns,76
update_clone,pvec-std,8000,,,454567031.0,ns,95
update_clone,pvec-std,8000,,,543943101.0,ns,114
update_clone,pvec-std,8000,,,634690826.0,ns,133
update_clone,pvec-std,8000,,,725532806.0,ns,152
update_clone,pvec-std,8000,,,822718772.0,ns,171
update_clone,pvec-std,8000,,,907912118.0,ns,190
