group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,rbvec,80,,,85174057.0,ns,3629
update_clone,rbvec,80,,,168088347.0,ns,7258
update_clone,rbvec,80,,,253454925.0,ns,10887
update_clone,rbvec,80,,,336774752.0,ns,14516
update_clone,rbvec,80,,,423771371.0,ns,18145
update_clone,rbvec,80,,,510164405.0,ns,21774
update_clone,rbvec,80,,,599433010.0,ns,25403
update_clone,rbvec,80,,,677270323.0,ns,29032
update_clone,rbvec,80,,,765330055.0,ns,32661
update_clone,rbvec,80,,,854856147.0,ns,36290
