group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,rrbvec,40,,,77482116.0,ns,16541
update_clone,rrbvec,40,,,150860046.0,ns,33082
update_clone,rrbvec,40,,,226142499.0,ns,49623
update_clone,rrbvec,40,,,301503488.0,ns,66164
update_clone,rrbvec,40,,,385862614.0,ns,82705
update_clone,rrbvec,40,,,455282851.0,ns,99246
update_clone,rrbvec,40,,,532543649.0,ns,115787
update_clone,rrbvec,40,,,610486808.0,ns,132328
update_clone,rrbvec,40,,,687406474.0,ns,148869
update_clone,rrbvec,40,,,763205231.0,ns,165410
