group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,std-vec,2000,,,87112505.0,ns,145
update_clone,std-vec,2000,,,177685135.0,ns,290
update_clone,std-vec,2000,,,266819670.0,ns,435
update_clone,std-vec,2000,,,354537474.0,ns,580
update_clone,std-vec,2000,,,443192688.0,ns,725
update_clone,std-vec,2000,,,516618323.0,ns,870
update_clone,std-vec,2000,,,613752303.0,ns,1015
update_clone,std-vec,2000,,,706194307.0,ns,1160
update_clone,std-vec,2000,,,784518212.0,ns,1305
update_clone,std-vec,2000,,,893728868.0,ns,1450
