group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone,std-vec,60,,,74046957.0,ns,11757
update_clone,std-vec,60,,,148544001.0,ns,23514
update_clone,std-vec,60,,,223447980.0,ns,35271
update_clone,std-vec,60,,,297810286.0,ns,47028
update_clone,std-vec,60,,,376064768.0,ns,58785
update_clone,std-vec,60,,,451099770.0,ns,70542
update_clone,std-vec,60,,,536522154.0,ns,82299
update_clone,std-vec,60,,,608769416.0,ns,94056
update_clone,std-vec,60,,,674855031.0,ns,105813
update_clone,std-vec,60,,,755618228.0,ns,117570
