group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,im-rs-vector-relaxed,4000,,,87923963.0,ns,45
update_clone_randomly,im-rs-vector-relaxed,4000,,,175564149.0,ns,90
update_clone_randomly,im-rs-vector-relaxed,4000,,,263625389.0,ns,135
update_clone_randomly,im-rs-vector-relaxed,4000,,,350461915.0,ns,180
update_clone_randomly,im-rs-vector-relaxed,4000,,,438097644.0,ns,225
update_clone_randomly,im-rs-vector-relaxed,4000,,,526134246.0,ns,270
update_clone_randomly,im-rs-vector-relaxed,4000,,,613688173.0,ns,315
update_clone_randomly,im-rs-vector-relaxed,4000,,,709262535.0,ns,360
update_clone_randomly,im-rs-vector-relaxed,4000,,,792747733.0,ns,405
update_clone_randomly,im-rs-vector-relaxed,4000,,,874196921.0,ns,450
