group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-rrbvec-balanced,60,,,82594158.0,ns,11270
update_clone_randomly,pvec-rrbvec-balanced,60,,,159446626.0,ns,22540
update_clone_randomly,pvec-rrbvec-balanced,60,,,240110868.0,ns,33810
update_clone_randomly,pvec-rrbvec-balanced,60,,,322771078.0,ns,45080
update_clone_randomly,pvec-rrbvec-balanced,60,,,403796090.0,ns,56350
update_clone_randomly,pvec-rrbvec-balanced,60,,,481198443.0,ns,67620
update_clone_randomly,pvec-rrbvec-balanced,60,,,562619335.0,ns,78890
update_clone_randomly,pvec-rrbvec-balanced,60,,,649141605.0,ns,90160
update_clone_randomly,pvec-rrbvec-balanced,60,,,733656815.0,ns,101430
update_clone_randomly,pvec-rrbvec-balanced,60,,,815624123.0,ns,112700
