group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-rrbvec-relaxed,40,,,78828528.0,ns,13105
update_clone_randomly,pvec-rrbvec-relaxed,40,,,152134286.0,ns,26210
update_clone_randomly,pvec-rrbvec-relaxed,40,,,230144015.0,ns,39315
update_clone_randomly,pvec-rrbvec-relaxed,40,,,304690651.0,ns,52420
update_clone_randomly,pvec-rrbvec-relaxed,40,,,383037879.0,ns,65525
update_clone_randomly,pvec-rrbvec-relaxed,40,,,462218764.0,ns,78630
update_clone_randomly,pvec-rrbvec-relaxed,40,,,546873706.0,ns,91735
update_clone_randomly,pvec-rrbvec-relaxed,40,,,620570752.0,ns,104840
update_clone_randomly,pvec-rrbvec-relaxed,40,,,697980074.0,ns,117945
update_clone_randomly,pvec-rrbvec-relaxed,40,,,774714969.0,ns,131050
