group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-std,2000,,,90021763.0,ns,77
update_clone_randomly,pvec-std,2000,,,179723665.0,ns,154
update_clone_randomly,pvec-std,2000,,,270326785.0,ns,231
update_clone_randomly,pvec-std,2000,,,359723885.0,ns,308
update_clone_randomly,pvec-std,2000,,,451687936.0,ns,385
update_clone_randomly,pvec-std,2000,,,542248338.0,ns,462
update_clone_randomly,pvec-std,2000,,,630530645.0,ns,539
update_clone_randomly,pvec-std,2000,,,723089585.0,ns,616
update_clone_randomly,pvec-std,2000,,,813468217.0,ns,693
update_clone_randomly,pvec-std,2000,,,901483684.0,ns,770
