group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,pvec-std,600,,,88838277.0,ns,389
update_clone_randomly,pvec-std,600,,,177510339.0,ns,778
update_clone_randomly,pvec-std,600,,,266498105.0,ns,1167
update_clone_randomly,pvec-std,600,,,355617775.0,ns,1556
update_clone_randomly,pvec-std,600,,,444707413.0,ns,1945
update_clone_randomly,pvec-std,600,,,534159004.0,ns,2334
update_clone_randomly,pvec-std,600,,,622021193.0,ns,2723
update_clone_randomly,pvec-std,600,,,716013156.0,ns,3112
update_clone_randomly,pvec-std,600,,,809557925.0,ns,3501
update_clone_randomly,pvec-std,600,,,890744374.0,ns,3890
