group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rbvec,80,,,84252044.0,ns,3501
update_clone_randomly,rbvec,80,,,169654306.0,ns,7002
update_clone_randomly,rbvec,80,,,253966734.0,ns,10503
update_clone_randomly,rbvec,80,,,338443093.0,ns,14004
update_clone_randomly,rbvec,80,,,423986923.0,ns,17505
update_clone_randomly,rbvec,80,,,509072730.0,ns,21006
update_clone_randomly,rbvec,80,,,594109411.0,ns,24507
update_clone_randomly,rbvec,80,,,686112412.0,ns,28008
update_clone_randomly,rbvec,80,,,767371304.0,ns,31509
update_clone_randomly,rbvec,80,,,855673160.0,ns,35010
