group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rbvec,8000,,,90533829.0,ns,19
update_clone_randomly,rbvec,8000,,,179699367.0,ns,38
update_clone_randomly,rbvec,8000,,,270194581.0,ns,57
update_clone_randomly,rbvec,8000,,,360885292.0,ns,76
update_clone_randomly,rbvec,8000,,,454275174.0,ns,95
update_clone_randomly,rbvec,8000,,,539065461.0,ns,114
update_clone_randomly,rbvec,8000,,,634005664.0,ns,133
update_clone_randomly,rbvec,8000,,,724566253.0,ns,152
update_clone_randomly,rbvec,8000,,,810812227.0,ns,171
update_clone_randomly,rbvec,8000,,,903482793.0,ns,190
