group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,rrbvec,40,,,80888701.0,ns,14748
update_clone_randomly,rrbvec,40,,,154263370.0,ns,29496
update_clone_randomly,rrbvec,40,,,233369876.0,ns,44244
update_clone_randomly,rrbvec,40,,,307922534.0,ns,58992
update_clone_randomly,rrbvec,40,,,389866841.0,ns,73740
update_clone_randomly,rrbvec,40,,,471894309.0,ns,88488
update_clone_randomly,rrbvec,40,,,554855999.0,ns,103236
update_clone_randomly,rrbvec,40,,,626085174.0,ns,117984
update_clone_randomly,rrbvec,40,,,705061563.0,ns,132732
update_clone_randomly,rrbvec,40,,,783219152.0,ns,147480
