group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_clone_randomly,std-vec,200,,,79497565.0,ns,4944
update_clone_randomly,std-vec,200,,,156644023.0,ns,9888
update_clone_randomly,std-vec,200,,,240262099.0,ns,14832
update_clone_randomly,std-vec,200,,,326941322.0,ns,19776
update_clone_randomly,std-vec,200,,,398823982.0,ns,24720
update_clone_randomly,std-vec,200,,,492588889.0,ns,29664
update_clone_randomly,std-vec,200,,,588171736.0,ns,34608
update_clone_randomly,std-vec,200,,,673532990.0,ns,39552
update_clone_randomly,std-vec,200,,,755835833.0,ns,44496
update_clone_randomly,std-vec,200,,,842538811.0,ns,49440
