group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,im-rs-vector-relaxed,100,,,38478878.0,ns,22500
update_randomly,im-rs-vector-relaxed,100,,,74941578.0,ns,45000
update_randomly,im-rs-vector-relaxed,100,,,115111177.0,ns,67500
update_randomly,im-rs-vector-relaxed,100,,,155365760.0,ns,90000
update_randomly,im-rs-vector-relaxed,100,,,198929965.0,ns,112500
update_randomly,im-rs-vector-relaxed,100,,,236909276.0,ns,135000
update_randomly,im-rs-vector-relaxed,100,,,278746745.0,ns,157500
update_randomly,im-rs-vector-relaxed,100,,,318260257.0,ns,180000
update_randomly,im-rs-vector-relaxed,100,,,358894308.0,ns,202500
update_randomly,im-rs-vector-relaxed,100,,,407507881.0,ns,225000
