group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,pvec-rrbvec-relaxed,6000,,,55932798.0,ns,326
update_randomly,pvec-rrbvec-relaxed,6000,,,111397769.0,ns,652
update_randomly,pvec-rrbvec-relaxed,6000,,,167451872.0,ns,978
update_randomly,pvec-rrbvec-relaxed,6000,,,230971503.0,ns,1304
update_randomly,pvec-rrbvec-relaxed,6000,,,286102632.0,ns,1630
update_randomly,pvec-rrbvec-relaxed,6000,,,349496669.0,ns,1956
update_randomly,pvec-rrbvec-relaxed,6000,,,407547225.0,ns,2282
update_randomly,pvec-rrbvec-relaxed,6000,,,467808531.0,ns,2608
update_randomly,pvec-rrbvec-relaxed,6000,,,526105350.0,ns,2934
update_randomly,pvec-rrbvec-relaxed,6000,,,591356444.0,ns,3260
