group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,pvec-std,8000,,,60407511.0,ns,1015
update_randomly,pvec-std,8000,,,119146972.0,ns,2030
update_randomly,pvec-std,8000,,,186942941.0,ns,3045
update_randomly,pvec-std,8000,,,265498356.0,ns,4060
update_randomly,pvec-std,8000,,,350030470.0,ns,5075
update_randomly,pvec-std,8000,,,429033743.0,ns,6090
update_randomly,pvec-std,8000,,,506051791.0,ns,7105
update_randomly,pvec-std,8000,,,590205861.0,ns,8120
update_randomly,pvec-std,8000,,,655562425.0,ns,9135
update_randomly,pvec-std,8000,,,736174437.0,ns,10150
