group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,rbvec,20,,,77580237.0,ns,250511
update_randomly,rbvec,20,,,128212349.0,ns,501022
update_randomly,rbvec,20,,,190541430.0,ns,751533
update_randomly,rbvec,20,,,252466362.0,ns,1002044
update_randomly,rbvec,20,,,315310869.0,ns,1252555
update_randomly,rbvec,20,,,383473079.0,ns,1503066
update_randomly,rbvec,20,,,433958427.0,ns,1753577
update_randomly,rbvec,20,,,494233286.0,ns,2004088
update_randomly,rbvec,20,,,567381769.0,ns,2254599
update_randomly,rbvec,20,,,625853774.0,ns,2505110
