group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,rrbvec,8000,,,57461710.0,ns,253
update_randomly,rrbvec,8000,,,113307875.0,ns,506
update_randomly,rrbvec,8000,,,170492108.0,ns,759
update_randomly,rrbvec,8000,,,233632964.0,ns,1012
update_randomly,rrbvec,8000,,,292365033.0,ns,1265
update_randomly,rrbvec,8000,,,356231011.0,ns,1518
update_randomly,rrbvec,8000,,,415963889.0,ns,1771
update_randomly,rrbvec,8000,,,477383665.0,ns,2024
update_randomly,rrbvec,8000,,,539514479.0,ns,2277
update_randomly,rrbvec,8000,,,605888111.0,ns,2530
