group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
update_randomly,std-vec,40000,,,59769864.0,ns,191
update_randomly,std-vec,40000,,,107412106.0,ns,382
update_randomly,std-vec,40000,,,199748791.0,ns,573
update_randomly,std-vec,40000,,,292098527.0,ns,764
update_randomly,std-vec,40000,,,370886034.0,ns,955
update_randomly,std-vec,40000,,,446356567.0,ns,1146
update_randomly,std-vec,40000,,,521510601.0,ns,1337
update_randomly,std-vec,40000,,,595762557.0,ns,1528
update_randomly,std-vec,40000,,,670210378.0,ns,1719
update_randomly,std-vec,40000,,,749498588.0,ns,1910
